project_id,project_name,technology,region,stage,project_manager,epc_vendor,capacity_mw,planned_start,planned_cod,forecast_cod,schedule_variance_days,baseline_budget_usd,actual_spend_usd,budget_variance_pct,percent_complete,risk_score,portfolio_health,commercial_operation_year,issue_count,high_severity_issues,total_issue_impact_days,total_issue_impact_cost_usd,latest_actual_progress,latest_planned_progress,avg_performance_ratio,avg_monthly_capex_usd,safety_incidents,change_orders,progress_gap_pct,budget_variance_usd,budget_status,schedule_status,risk_band
MN8-001,Texas Battery Project 1,Battery Storage,Texas,Commissioning,L. Kim,BrightPath,102,2025-04-05,2025-11-23,2025-12-28,35,90722775.0,75843229.0,3.22,81.0,44.9,Watch,2025,6,3,133,816873.0,100.0,100.0,0.9359999999999999,13760255.166666666,1,8,0.0,2357781.25,Near plan,Delayed,Medium
MN8-002,Southwest Solar Project 2,Solar PV,Southwest,Development,D. Singh,SunPeak,103,2025-04-08,2026-06-20,2026-06-05,-15,96478133.0,11319117.0,-6.93,12.6,38.1,Healthy,2026,3,0,49,271001.0,49.5,47.8,0.8574999999999999,14365247.333333334,0,1,1.7000000000000028,-837127.7579999994,Under plan,Ahead,Low
MN8-003,Northeast Battery Project 3,Battery Storage,Northeast,Construction,S. Patel,StorageCore,154,2025-10-09,2026-04-10,2026-03-28,-13,129749912.0,90008895.0,3.37,67.1,19.7,Healthy,2026,3,1,65,235593.0,72.8,76.0,0.9354999999999999,24680386.833333332,0,1,-3.200000000000003,2946704.048000008,Near plan,Ahead,Low
MN8-004,Southeast Solar Project 4,Solar PV,Southeast,Engineering,A. Lopez,HelioWorks,166,2025-02-03,2026-02-12,2026-01-27,-16,152642714.0,64151094.0,10.01,38.2,51.6,Watch,2026,3,1,61,223578.0,51.0,56.7,0.842,27295383.5,0,2,-5.700000000000003,5841577.251999997,Over plan,Ahead,Medium
MN8-005,Northeast Hybrid Project 5,Hybrid Solar + Storage,Northeast,Engineering,R. Johnson,SunPeak,131,2025-08-18,2026-04-18,2026-05-21,33,157583538.0,72202263.0,10.67,41.4,47.4,Watch,2026,6,2,99,638715.0,65.3,62.7,0.871,20310711.833333332,2,7,2.5999999999999943,6962678.267999999,Over plan,Delayed,Medium
MN8-006,Northeast Battery Project 6,Battery Storage,Northeast,Operational,A. Lopez,SunPeak,132,2025-10-07,2027-03-31,2027-04-12,12,121666858.0,115335692.0,-4.03,98.8,8.0,Healthy,2027,3,0,42,124976.0,100.0,96.5,0.9308333333333333,27838905.0,2,5,3.5,-4871163.703999996,Near plan,Delayed,Low
MN8-007,Midwest Battery Project 7,Battery Storage,Midwest,Operational,R. Johnson,HelioWorks,99,2025-02-13,2026-01-01,2025-12-21,-11,80463128.0,86064428.0,6.99,100.0,8.0,Healthy,2025,3,0,22,54176.0,100.0,97.2,0.9115000000000001,16456564.666666666,2,0,2.799999999999997,5601300.0,Over plan,Ahead,Low
MN8-008,Midwest Solar Project 8,Solar PV,Midwest,Engineering,S. Patel,BrightPath,148,2025-02-20,2026-07-10,2026-08-04,25,154778612.0,43697017.0,3.71,27.2,62.8,Watch,2026,4,1,42,430914.0,61.0,60.7,0.84,21828116.166666668,0,1,0.29999999999999716,1597234.5359999985,Near plan,Delayed,High
MN8-009,Southeast Battery Project 9,Battery Storage,Southeast,Construction,M. Chen,SunPeak,109,2025-09-08,2027-02-20,2027-02-21,1,89147502.0,59799044.0,-7.37,72.4,37.2,Healthy,2027,4,2,57,498087.0,100.0,98.3,0.9198333333333334,13380442.166666666,3,1,1.7000000000000028,-4743747.447999999,Under plan,Delayed,Low
MN8-010,Texas Solar Project 10,Solar PV,Texas,Commissioning,D. Singh,HelioWorks,182,2025-05-03,2026-02-15,2026-04-08,52,184230490.0,148513330.0,-7.63,87.3,59.5,At Risk,2026,5,2,57,446449.0,100.0,100.0,0.842,32016522.5,0,5,0.0,-12319887.77000001,Under plan,Delayed,Medium
MN8-011,Southwest Solar Project 11,Solar PV,Southwest,Construction,S. Patel,GridVolt,244,2025-08-05,2026-06-16,2026-07-07,21,234940572.0,124406406.0,-4.97,55.7,43.3,Watch,2026,6,1,77,396537.0,97.4,100.0,0.8765000000000001,39553452.166666664,0,1,-2.5999999999999943,-6455492.604000017,Near plan,Delayed,Medium
MN8-012,Northeast Battery Project 12,Battery Storage,Northeast,Engineering,S. Patel,GridVolt,149,2025-10-13,2026-10-13,2026-10-11,-2,118068735.0,54713612.0,-5.9,49.2,37.0,Healthy,2026,2,1,36,236731.0,73.8,78.2,0.9115000000000001,18647888.166666668,0,4,-4.400000000000006,-3376205.6199999973,Under plan,Ahead,Low
MN8-013,Texas Battery Project 13,Battery Storage,Texas,Commissioning,L. Kim,StorageCore,68,2025-03-21,2025-12-07,2025-12-28,21,61354008.0,55575569.0,8.0,83.9,54.3,Watch,2025,6,1,58,334843.0,100.0,96.8,0.9215,9870197.5,1,5,3.200000000000003,4099556.287999995,Over plan,Delayed,Medium
MN8-014,Southwest Battery Project 14,Battery Storage,Southwest,Construction,A. Lopez,SunPeak,159,2025-09-09,2026-12-16,2026-11-01,-45,127638574.0,115157270.0,5.47,85.5,30.1,Healthy,2026,4,0,32,160691.0,100.0,99.3,0.9058333333333334,19758752.5,0,2,0.7000000000000028,6026289.230000004,Over plan,Ahead,Low
MN8-015,Northeast Battery Project 15,Battery Storage,Northeast,Commissioning,S. Patel,StorageCore,127,2025-02-10,2026-03-19,2026-04-15,27,117934237.0,103470502.0,3.41,84.8,43.1,Watch,2026,3,1,28,221926.0,100.0,95.5,0.9156666666666666,21076170.5,5,6,4.5,3462269.023999989,Near plan,Delayed,Medium
MN8-016,Midwest Solar Project 16,Solar PV,Midwest,Operational,M. Chen,BrightPath,125,2025-09-04,2027-01-17,2026-12-30,-18,119466162.0,113848694.0,-4.67,100.0,8.0,Healthy,2026,4,0,44,189583.0,100.0,100.0,0.8833333333333333,20751998.166666668,3,3,0.0,-5617468.0,Near plan,Ahead,Low
MN8-017,Southeast Battery Project 17,Battery Storage,Southeast,Construction,A. Lopez,BrightPath,81,2025-09-25,2026-12-20,2027-02-15,57,65237269.0,43320275.0,-8.01,72.2,62.4,At Risk,2027,3,1,35,207360.0,68.6,74.6,0.9118333333333334,12178779.333333334,3,3,-6.0,-3781033.218000002,Under plan,Delayed,High
MN8-018,Texas Solar Project 18,Solar PV,Texas,Development,S. Patel,BrightPath,172,2025-05-08,2025-12-03,2025-11-21,-12,161216237.0,9217346.0,-5.02,6.0,57.2,Watch,2025,5,0,49,323561.0,49.2,51.7,0.8521666666666667,26527771.333333332,3,7,-2.5,-455628.22000000067,Under plan,Ahead,Medium
MN8-019,Texas Hybrid Project 19,Hybrid Solar + Storage,Texas,Commissioning,S. Patel,StorageCore,137,2025-09-25,2026-05-27,2026-05-08,-19,177789618.0,168317789.0,10.34,85.8,48.1,Healthy,2026,4,1,46,212538.0,100.0,100.0,0.8556666666666667,32482502.833333332,3,0,0.0,15774296.756000012,Over plan,Ahead,Medium
MN8-020,Southeast Hybrid Project 20,Hybrid Solar + Storage,Southeast,Engineering,L. Kim,GridVolt,275,2025-07-07,2026-10-06,2026-09-29,-7,354748903.0,162165653.0,9.74,41.7,58.7,Watch,2026,3,0,32,87816.0,65.1,70.6,0.8463333333333334,52551637.0,1,2,-5.5,14235360.449000001,Over plan,Ahead,Medium
MN8-021,Southwest Battery Project 21,Battery Storage,Southwest,Operational,A. Lopez,GridVolt,135,2025-08-17,2026-10-02,2026-10-16,14,111055734.0,115127357.0,4.12,99.6,8.0,Healthy,2026,3,1,51,287960.0,100.0,100.0,0.9273333333333333,16139559.166666666,2,5,0.0,4515845.936000004,Near plan,Delayed,Low
MN8-022,Midwest Solar Project 22,Solar PV,Midwest,Development,A. Lopez,SunPeak,221,2025-04-19,2026-02-05,2026-02-17,12,199306510.0,15805677.0,5.22,7.5,62.0,Watch,2026,4,1,34,346806.0,48.0,44.6,0.831,28852293.833333332,0,3,3.3999999999999986,857688.75,Over plan,Delayed,High
MN8-023,Texas Battery Project 23,Battery Storage,Texas,Engineering,S. Patel,HelioWorks,48,2025-06-03,2026-08-20,2026-07-15,-36,42531382.0,15445262.0,4.47,34.8,43.7,Healthy,2026,2,0,21,187161.0,46.6,52.9,0.9436666666666667,7456737.333333333,2,4,-6.299999999999997,644341.0640000012,Near plan,Ahead,Medium
MN8-024,Southeast Battery Project 24,Battery Storage,Southeast,Construction,R. Johnson,GridVolt,161,2025-04-26,2026-06-22,2026-06-10,-12,133229382.0,120190502.0,3.89,86.8,35.7,Healthy,2026,4,1,59,277240.0,100.0,98.2,0.9188333333333333,27225416.166666668,1,1,1.7999999999999972,4547398.423999995,Near plan,Ahead,Low
